,country_name,adm1_name
0,Bolivia,Beni
33,Bolivia,Chuquisaca
66,Bolivia,Cochabamba
99,Bolivia,La Paz
132,Bolivia,Oruro
165,Bolivia,Pando
198,Bolivia,Potosi
231,Bolivia,Santa Cruz
264,Bolivia,Tarija
297,Brazil,Acre
1750,Brazil,Alagoas
3206,Brazil,Amapa
4653,Brazil,Amazonas
6107,Brazil,Bahia
7563,Brazil,Ceara
9018,Brazil,Espirito Santo
10473,Brazil,Federal District
11928,Brazil,Goias
13384,Brazil,Maranhao
14838,Brazil,Mato Grosso
16291,Brazil,Mato Grosso do Sul
17744,Brazil,Minas Gerais
19200,Brazil,Para
20653,Brazil,Paraiba
22109,Brazil,Parana
23563,Brazil,Pernambuco
25019,Brazil,Piaui
26468,Brazil,Rio Grande do Norte
27919,Brazil,Rio Grande do Sul
29375,Brazil,Rio de Janeiro
30831,Brazil,Rondonia
32283,Brazil,Roraima
33728,Brazil,Santa Catarina
35182,Brazil,Sao Paulo
36636,Brazil,Sergipe
38088,Brazil,Tocantins
39540,Chile,Aisen
43916,Chile,Antofagasta
48292,Chile,Araucania
52668,Chile,Arica y Parinacota
57044,Chile,Atacama
61420,Chile,Biobio
65796,Chile,Coquimbo
70172,Chile,Los Lagos
74548,Chile,Los Rios
78924,Chile,Magallanes
83300,Chile,Maule
87676,Chile,O'Higgins
92052,Chile,Santiago Metropolitan
96428,Chile,Tarapaca
100804,Chile,Valparaiso
105180,Chile,Ã‘uble
109556,Colombia,Amazonas
109905,Colombia,Antioquia
110254,Colombia,Arauca
110603,Colombia,Atlantico
110952,Colombia,Bogota D.C.
111301,Colombia,Bolivar
111650,Colombia,Boyaca
111999,Colombia,Caldas
112348,Colombia,Caqueta
112697,Colombia,Casanare
113046,Colombia,Cauca
113395,Colombia,Cesar
113744,Colombia,Choco
114093,Colombia,Cordoba
114442,Colombia,Cundinamarca
114791,Colombia,Guainia
115139,Colombia,Guaviare
115488,Colombia,Huila
115837,Colombia,La Guajira
116186,Colombia,Magdalena
116535,Colombia,Meta
116884,Colombia,Narino
117233,Colombia,Norte de Santander
117582,Colombia,Putumayo
117931,Colombia,Quindio
118280,Colombia,Risaralda
118629,Colombia,San Andres y Providencia
118978,Colombia,Santander
119327,Colombia,Sucre
119676,Colombia,Tolima
120025,Colombia,Valle del Cauca
120374,Colombia,Vaupes
120721,Colombia,Vichada
121070,Ecuador,Azuay
123606,Ecuador,Bolivar
126141,Ecuador,Canar
128673,Ecuador,Carchi
131202,Ecuador,Chimborazo
133739,Ecuador,Cotopaxi
136274,Ecuador,El Oro
138810,Ecuador,Esmeraldas
141344,Ecuador,Galapagos
143859,Ecuador,Guayas
146397,Ecuador,Imbabura
148933,Ecuador,Loja
151469,Ecuador,Los Rios
154005,Ecuador,Manabi
156541,Ecuador,Morona-Santiago
159069,Ecuador,Napo
161600,Ecuador,Orellana
164127,Ecuador,Pastaza
166648,Ecuador,Pichincha
169186,Ecuador,Santa Elena
171719,Ecuador,Santo Domingo de los Tsachilas
174255,Ecuador,Sucumbios
176789,Ecuador,Tungurahua
179325,Ecuador,Zamora-Chinchipe
181846,Peru,Amazonas
183497,Peru,Ancash
185319,Peru,Apurimac
187111,Peru,Arequipa
188933,Peru,Ayacucho
190724,Peru,Cajamarca
192546,Peru,Callao
194368,Peru,Cusco
196190,Peru,Huancavelica
198004,Peru,Huanuco
199826,Peru,Ica
201648,Peru,Junin
203470,Peru,La Libertad
205292,Peru,Lambayeque
207020,Peru,Lima
208842,Peru,Loreto
210660,Peru,Madre de Dios
212176,Peru,Moquegua
213839,Peru,Pasco
215405,Peru,Piura
217227,Peru,Puno
219049,Peru,San Martin
220866,Peru,Tacna
222635,Peru,Tumbes
224329,Peru,Ucayali
226130,Paraguay,Alto Paraguay
226213,Paraguay,Alto Parana
226297,Paraguay,Amambay
226381,Paraguay,Asuncion
226465,Paraguay,Boqueron
226549,Paraguay,Caaguazu
226633,Paraguay,Caazapa
226717,Paraguay,Canindeyu
226801,Paraguay,Central
226885,Paraguay,Concepcion
226969,Paraguay,Cordillera
227053,Paraguay,Guaira
227137,Paraguay,Itapua
227221,Paraguay,Misiones
227305,Paraguay,Neembucu
227388,Paraguay,Paraguari
227472,Paraguay,Presidente Hayes
227555,Paraguay,San Pedro
227639,Uruguay,Artigas
227708,Uruguay,Canelones
227777,Uruguay,Cerro Largo
227846,Uruguay,Colonia
227915,Uruguay,Durazno
227984,Uruguay,Flores
228053,Uruguay,Florida
228122,Uruguay,Lavalleja
228191,Uruguay,Maldonado
228260,Uruguay,Montevideo
228329,Uruguay,Paysandu
228398,Uruguay,Rio Negro
228467,Uruguay,Rivera
228536,Uruguay,Rocha
228605,Uruguay,Salto
228674,Uruguay,San Jose
228743,Uruguay,Soriano
228812,Uruguay,Tacuarembo
228881,Uruguay,Treinta y Tres
